reported,type,quantity,net_length,rope_length,latitude,longitude
2019-05-13,CASIER/CAGE - TRAP/POT,1,0,50,47.9252777777778,-63.7397222222222
2019-05-16,CASIER/CAGE - TRAP/POT,1,0,0,47.4188888888889,-63.5216666666667
2019-05-16,CASIER/CAGE - TRAP/POT,1,0,0,47.3716666666667,-63.5605555555556
2019-05-16,CASIER/CAGE - TRAP/POT,1,0,0,47.385,-63.5541666666667
2019-05-16,CASIER/CAGE - TRAP/POT,1,0,0,47.385,-63.5541666666667
2019-05-12,CASIER/CAGE - TRAP/POT,1,0,0,47.5172222222222,-61.2683333333333
2019-05-16,CASIER/CAGE - TRAP/POT,1,0,0,47.38,-63.2575
2019-05-07,CASIER/CAGE - TRAP/POT,1,0,510,47.4719444444444,-63.2197222222222
2019-05-12,CASIER/CAGE - TRAP/POT,1,0,450,47.7383333333333,-63.6958333333333
2019-05-15,CASIER/CAGE - TRAP/POT,1,0,310,47.225,-63.0894444444444
2019-05-17,CASIER/CAGE - TRAP/POT,1,200,0,48.05,-63.6444444444444
2019-05-16,CASIER/CAGE - TRAP/POT,3,0,1350,15.1005555555556,-30.2019444444444
2019-05-13,CASIER/CAGE - TRAP/POT,1,0,500,47.4619444444444,-63.4261111111111
2019-05-14,CASIER/CAGE - TRAP/POT,1,0,450,47.6019444444444,-63.6102777777778
2019-05-14,CASIER/CAGE - TRAP/POT,1,0,480,48.1372222222222,-63.7191666666667
2019-05-14,CASIER/CAGE - TRAP/POT,1,0,480,48.0952777777778,-63.6483333333333
2019-05-19,CASIER/CAGE - TRAP/POT,1,7,450,47.4333333333333,-63.3352777777778
2019-05-17,CASIER/CAGE - TRAP/POT,1,0,0,46.8513888888889,-63.9580555555556
2019-05-14,CASIER/CAGE - TRAP/POT,1,0,0,47.7330555555556,-61.4144444444444
2019-05-16,CASIER/CAGE - TRAP/POT,1,0,0,47.7997222222222,-61.3330555555556
2019-05-17,CASIER/CAGE - TRAP/POT,2,0,0,47.7858333333333,-61.3272222222222
2019-05-20,CASIER/CAGE - TRAP/POT,6,0,0,46.5333333333333,-30.035
2019-05-20,CASIER/CAGE - TRAP/POT,1,0,0,47.4925,-61.36
2019-05-09,CASIER/CAGE - TRAP/POT,1,0,0,47.6941666666667,-60.6230555555556
2019-05-09,CASIER/CAGE - TRAP/POT,1,0,0,47.6261111111111,-60.5702777777778
2019-05-09,CASIER/CAGE - TRAP/POT,1,0,0,47.6186111111111,-60.5616666666667
2019-05-09,CASIER/CAGE - TRAP/POT,1,0,510,47.6258333333333,-60.5766666666667
