"Last date the gear was known to be at this locaiton / La date à laquelle l’engin a été repéré à cet endroit pour
la dernière fois",Gear Type / Type d’engin,Number of Units / Nombre d’engins perdus ,Estimated Length of Netting Lost / Longueur estimée de filets perdus,Estimated Length of Rope Lost / Longueur estimée de corde perdue,Latitude,Longitude
2019-05-11,CASIER/CAGE - TRAP/POT,2,0,0,"46°45'16"" N","64°0007'25"" W"
2019-05-10,CASIER/CAGE - TRAP/POT,1,0,450,"46°57'832"" N","62°49'790"" W"
2019-05-11,CASIER/CAGE - TRAP/POT,1,0,0,"46°51'88"" N","63°59'39"" W"
2019-05-11,CASIER/CAGE - TRAP/POT,1,0,0,"46°44'12"" N","63°57'58"" W"
2019-05-04,CASIER/CAGE - TRAP/POT,1,0,600,"46°41'263"" N","60°02'741"" W"
2019-05-13,CASIER/CAGE - TRAP/POT,1,0,0,"46°53'01"" N","63°55'16"" W"
2019-05-10,CASIER/CAGE - TRAP/POT,1,0,450,"48°00'492"" N","63°46'425"" W"
2019-05-10,CASIER/CAGE - TRAP/POT,1,0,450,"47°56'988"" N","63°45'509"" W"
2019-05-12,CASIER/CAGE - TRAP/POT,1,0,0,"46°44'979"" N","63°56'992"" W"
2019-05-13,CASIER/CAGE - TRAP/POT,1,0,0,"45°53'98"" N","63°54'09"" W"
2019-05-08,CASIER/CAGE - TRAP/POT,1,0,420,"47°33'99"" N","63°32'67"" W"
2019-05-13,CASIER/CAGE - TRAP/POT,1,0,0,"46°42'05"" N","63°50'01"" W"
2019-05-13,CASIER/CAGE - TRAP/POT,5,0,180,"47°27'09"" N","61°23'56"" W"
2019-05-08,CASIER/CAGE - TRAP/POT,1,0,2,"46°32'84"" N","63°22'49"" W"
2019-05-05,CASIER/CAGE - TRAP/POT,1,0,120,"48°00'779"" N","64°23'054"" W"
N/A,CASIER/CAGE - TRAP/POT,1,0,0,"47°15'815"" N","61°37'583"" W"
N/A,CASIER/CAGE - TRAP/POT,1,0,0,"47°15'815"" N","61°37'583"" W"
N/A,CASIER/CAGE - TRAP/POT,1,0,0,"47°15'815"" N","61°37'583"" W"
N/A,CASIER/CAGE - TRAP/POT,1,0,0,"47°18'040"" N","61°36'033"" W"
N/A,CASIER/CAGE - TRAP/POT,1,0,0,"47°18'090"" N","61°36'033"" W"
N/A,CASIER/CAGE - TRAP/POT,1,0,0,"47°19'???"" N","61°36'033"" W"
2019-05-13,CASIER/CAGE - TRAP/POT,1,0,0,"46°29'07"" N","62°13'02"" W"
2019-04-24,CASIER/CAGE - TRAP/POT,2,0,120,"44°41'3136"" N","58°44'5876"" W"
2019-05-09,CASIER/CAGE - TRAP/POT,25,0,7200,"46°31'00"" N","56°03'00"" W"
