"TARGET NAME";"LAT";"LON";"CLASS"
"Sonar Contact 142";48.0239007120159;-65.0007595624759;"casier"
"Sonar Contact 143";48.0225738293254;-65.0009184085776;"casier"
"Sonar Contact 144";48.0233228680761;-64.9982713919748;"casier"
"Sonar Contact 145";48.022737985768;-65.002841612274;"casier"
"Sonar Contact 146";48.0225656954943;-65.0031162670536;
"Sonar Contact 147";48.0235560689321;-65.0030905992769;"casier"
"Sonar Contact 148";48.0228648010198;-65.0068040905457;"casier"
"Sonar Contact 149";48.0244528587688;-65.007865024473;"casier"
"Sonar Contact 150";48.0238828194501;-65.0076647347261;
"Sonar Contact 151";48.0230939311629;-65.0083419408085;
"Sonar Contact 152";48.0243205263472;-65.0088317501208;
"Sonar Contact 153";48.0239600106167;-65.010272989377;
"Sonar Contact 154";48.0230778839144;-65.0098675239136;
"Sonar Contact 155";48.0236431293792;-65.0106036030949;"casier"
"Sonar Contact 156";48.0241362678111;-65.0105057460793;
"Sonar Contact 157";48.0237669923589;-65.0114483313352;
"Sonar Contact 158";48.0230788301475;-65.0117055457423;"casier"
"Sonar Contact 159";48.0232803221426;-65.0122828726085;"casier"
"Sonar Contact 160";48.0218155483238;-65.0144326692981;"casier"
"Sonar Contact 161";48.0228332860088;-65.0154114534464;"casier"
"Sonar Contact 162";48.0213761265357;-65.014884229208;"casier"
"Sonar Contact 163";48.0228602611991;-65.0159465819389;"casier"
"Sonar Contact 164";48.0227113342734;-65.0160093180121;
"Sonar Contact 165";48.020959270628;-65.0173260491352;"casier"
"Sonar Contact 166";48.0211960307998;-65.0174593786013;
"Sonar Contact 167";48.0221655656299;-65.0182761315285;
"Sonar Contact 168";48.021561776801;-65.0191454546688;"casier"
"Sonar Contact 169";48.0208974790136;-65.018807051653;
"Sonar Contact 170";48.0205316097809;-65.0204155222183;
"Sonar Contact 171";48.0212032600121;-65.0202838713235;
"Sonar Contact 172";48.0197966880681;-65.0220040482036;
"Sonar Contact 173";48.020721172415;-65.022988274728;
"Sonar Contact 174";48.0193281862405;-65.0225466248552;"casier"
"Sonar Contact 175";48.0197795307829;-65.024739813771;
"Sonar Contact 176";48.021154665652;-65.0218599814614;
"Sonar Contact 177";48.0186678992694;-65.0249348360771;
"Sonar Contact 178";48.0192880544545;-65.0254883646308;
"Sonar Contact 179";48.0195723453234;-65.0253845643736;"casier"
"Sonar Contact 180";48.0195365492574;-65.0271744844422;"casier"
"Sonar Contact 181";48.0193372245096;-65.0277772821224;
"Sonar Contact 182";48.0187119513706;-65.0283857733271;
"Sonar Contact 183";48.0175730003741;-65.0290020091147;
"Sonar Contact 184";48.0172155821319;-65.0294647372523;"casier"
"Sonar Contact 185";48.0177543539761;-65.0294119182679;
"Sonar Contact 186";48.0181571028589;-65.0312665893895;"casier"
"Sonar Contact 187";48.0168601759336;-65.0314060012773;
"Sonar Contact 188";48.0174888260188;-65.0322111177238;"casier"
"Sonar Contact 189";48.0169504930242;-65.0319079648198;"casier"
"Sonar Contact 190";48.0166607338202;-65.0315455611058;
"Sonar Contact 191";48.0163583670928;-65.0310020594675;
"Sonar Contact 192";48.0170124340727;-65.0327857053084;
"Sonar Contact 193";48.0164462660025;-65.0331579532891;
"Sonar Contact 194";48.0162550817382;-65.0343589771976;
"Sonar Contact 195";48.0157421633174;-65.0349949046715;
"Sonar Contact 196";48.0157246752007;-65.0347373041235;
"Sonar Contact 197";48.0158142608579;-65.0346502885519;
"Sonar Contact 198";48.0147852585334;-65.0337005992543;
"Sonar Contact 199";48.0152819899373;-65.0345393071035;
"Sonar Contact 200";48.0147457557939;-65.0342651877842;
"Sonar Contact 201";48.0139877938799;-65.0364079645002;"casier"
"Sonar Contact 202";48.0127223748231;-65.035379006168;"casier"
"Sonar Contact 203";48.0124218167282;-65.0380523230237;"casier"
"Sonar Contact 204";48.0124072591831;-65.0372956453874;
"Sonar Contact 205";48.0120703147524;-65.0373866903412;
"Sonar Contact 206";48.0117667416474;-65.0376732233837;
"Sonar Contact 207";48.0113095361443;-65.0374761970154;
"Sonar Contact 208";48.0112844544475;-65.0376554077449;
